full_id,osm_id,osm_type,railway,name,xcoord,ycoord
n290262034,"290262034",node,tram_stop,Jacob Catsstraat,4.3147921,52.06603
n290262036,"290262036",node,tram_stop,Jacob Catsstraat,4.3146671,52.06589
n290410504,"290410504",node,tram_stop,Bierkade,4.3184371,52.0758105
n290918279,"290918279",node,tram_stop,Lage Filterweg,4.5223959,51.9127647
n290920719,"290920719",node,tram_stop,Opstelspoor De Esch,4.5235589,51.9079397
n290930270,"290930270",node,tram_stop,Derkinderenstraat,4.8401257,52.3579358
n290930272,"290930272",node,tram_stop,Station Lelylaan,4.834559,52.3578798
n290931124,"290931124",node,tram_stop,Wilhelminaplein,4.4918928,51.9080886
n290931857,"290931857",node,tram_stop,Postjesweg,4.8531786,52.3647729
n290945410,"290945410",node,tram_stop,Oude Plantage,4.5213384,51.9153708
n290945574,"290945574",node,tram_stop,Woudestein,4.5186318,51.9167262
n290945577,"290945577",node,tram_stop,Woudestein,4.5191229,51.916451
n290946461,"290946461",node,tram_stop,Willem Ruyslaan,4.5065643,51.921453
n290955747,"290955747",node,tram_stop,Meer en Vaart,4.8107529,52.3565093
n290957004,"290957004",node,tram_stop,Surinameplein,4.8509943,52.3580728
n290963343,"290963343",node,tram_stop,Westlandgracht,4.8456281,52.3515685
n291646148,"291646148",node,tram_stop,Cornelis Schuytstraat,4.870782,52.3560251
n291660551,"291660551",node,tram_stop,Museumplein,4.8812446,52.358854
n293359901,"293359901",node,tram_stop,Kneuterdijk,4.3098175,52.0802545
n293359960,"293359960",node,tram_stop,Kneuterdijk,4.3089829,52.0810609
n293362231,"293362231",node,tram_stop,Frankenslag,4.2819116,52.0995686
n293362233,"293362233",node,tram_stop,Duinstraat,4.2787809,52.1021286
n293362237,"293362237",node,tram_stop,Badhuiskade,4.277226,52.1072253
n293883917,"293883917",node,tram_stop,Poortwachter,4.8450525,52.2833338
n293884152,"293884152",node,tram_stop,Brink,4.8513367,52.2806292
n293884357,"293884357",node,tram_stop,Meent,4.8569707,52.2808905
n293886212,"293886212",node,tram_stop,Amstelveen Stadshart,4.8670933,52.3012694
n294091330,"294091330",node,tram_stop,Parnassusweg,4.8686793,52.3382075
n295540833,"295540833",node,tram_stop,Noorddammerlaan,4.8400481,52.2920559
n295552866,"295552866",node,tram_stop,Amsterdamseweg,4.8552783,52.3153498
n296265564,"296265564",node,tram_stop,Admiraal Helfrichstraat,4.8446631,52.3694262
n296265916,"296265916",node,tram_stop,Lambertus Zijlplein,4.8029118,52.3772607
n296266579,"296266579",node,tram_stop,Brinkstraat,4.9474911,52.3432024
n296703876,"296703876",node,tram_stop,Osdorpplein West,4.8032411,52.3590594
n296992497,"296992497",node,tram_stop,Van Nijenrodeweg,4.8565436,52.3279919
n296996392,"296996392",node,tram_stop,Jollenpad,4.8544501,52.3352796
n296999161,"296999161",node,tram_stop,IJsbaanpad,4.8524016,52.3411779
n297095283,"297095283",node,tram_stop,Bilderdijkstraat,4.8708148,52.3710541
n297099561,"297099561",node,tram_stop,Azartplein,4.9373469,52.3768181
n297099562,"297099562",node,tram_stop,Azartplein,4.9373223,52.3766133
n297880116,"297880116",node,tram_stop,Verffabriek,4.3461367,52.0334059
n297934760,"297934760",node,tram_stop,Minervaplein,4.8730291,52.3467738
n297934761,"297934761",node,tram_stop,Beethovenstraat,4.8762769,52.3468693
n297934763,"297934763",node,tram_stop,Gerrit van der Veenstraat,4.8771911,52.3488198
n297934764,"297934764",node,tram_stop,Gerrit van der Veenstraat,4.877365,52.3492157
n302344233,"302344233",node,tram_stop,Station Amstelveen,4.8479601,52.3015775
n303720945,"303720945",node,tram_stop,Station Zuid,4.8739688,52.3408227
n304076333,"304076333",node,tram_stop,Eerste Coehoornstraat,4.9263002,52.3681426
n304965084,"304965084",node,tram_stop,Van Boshuizenstraat,4.8689764,52.3248943
n304984034,"304984034",node,tram_stop,Uilenstede,4.8691021,52.3212764
n305163755,"305163755",node,tram_stop,Rietlandpark,4.9334664,52.3732299
n305789993,"305789993",node,tram_stop,Olympiaplein,4.8658574,52.3463018
n310569749,"310569749",node,tram_stop,Keizersgracht,4.8983188,52.3638329
n310569756,"310569756",node,tram_stop,Frederiksplein,4.8992936,52.3601777
n310569757,"310569757",node,tram_stop,Stadhouderskade,4.8992468,52.3581612
n310573222,"310573222",node,tram_stop,Waalstraat,4.9011051,52.3446536
n310573223,"310573223",node,tram_stop,Waalstraat,4.9005615,52.3444211
n310573224,"310573224",node,tram_stop,Maasstraat,4.8962714,52.3428638
n310573225,"310573225",node,tram_stop,Maasstraat,4.896873,52.343118
n310573227,"310573227",node,tram_stop,Dintelstraat,4.8930059,52.341925
n310573230,"310573230",node,tram_stop,Station RAI,4.8905473,52.3369049
n317326527,"317326527",node,tram_stop,Station Schiedam Centrum,4.406743,51.9210568
n317956000,"317956000",node,tram_stop,Van Woustraat,4.9008616,52.3546903
n317956001,"317956001",node,tram_stop,Van Woustraat,4.9015849,52.3549446
n318594946,"318594946",node,tram_stop,Zuilenstein,5.0894487,52.0459641
n318594971,"318594971",node,tram_stop,Wijkersloot,5.0779176,52.0355376
n318598204,"318598204",node,tram_stop,Fokkesteeg,5.0885604,52.0184929
n318598210,"318598210",node,tram_stop,Wiersdijk,5.0886739,52.0119033
n318599186,"318599186",node,tram_stop,Nieuwegein-Zuid,5.0864211,52.0060732
n319641124,"319641124",node,tram_stop,Hoogte Kadijk,4.9248123,52.3668676
n321512300,"321512300",node,tram_stop,Merwestein,5.086135,52.025688
n323088655,"323088655",node,tram_stop,Schieweg,4.465004,51.934081
n323090730,"323090730",node,tram_stop,Teldersweg,4.4691607,51.9528145
n323091210,"323091210",node,tram_stop,Kastanjeplein,4.4680506,51.9582315
n330028855,"330028855",node,tram_stop,Eerste Leeghwaterstraat,4.9293975,52.3700769
n333779868,"333779868",node,tram_stop,Lodewijk Pincoffsweg,4.4988794,51.9058016
n333780704,"333780704",node,tram_stop,Vuurplaat,4.5036991,51.903747
n333780725,"333780725",node,tram_stop,Varkenoordseviaduct,4.5119431,51.9002757
