full_id,osm_id,osm_type,highway,name,xcoord,ycoord
n42723126,"42723126",node,bus_stop,Kwaalburg,4.9523023,51.4741007
n42727982,"42727982",node,bus_stop,Veluwehof,5.6977881,51.4752258
n42735077,"42735077",node,bus_stop,Volderhof,5.7025431,51.4777795
n42739665,"42739665",node,bus_stop,Gelderstraat,5.1388588,51.4820195
n42746210,"42746210",node,bus_stop,Zuideinde,5.6600906,51.4811224
n42783049,"42783049",node,bus_stop,Ravensgat,5.715685,51.4923629
n42787226,"42787226",node,bus_stop,Bosweg,5.5689848,51.4939537
n42800232,"42800232",node,bus_stop,Bedrijfsweg,5.4050892,51.4969323
n42802155,"42802155",node,bus_stop,Science Park Oost/5100,5.4598577,51.4981084
n42804945,"42804945",node,bus_stop,Industrieweg,5.408528,51.4983618
n42840822,"42840822",node,bus_stop,Bosscheweg,5.6424859,51.5069709
n42863510,"42863510",node,bus_stop,Deense Hoek,5.5851809,51.5128865
n42870049,"42870049",node,bus_stop,Brouwerstraat,5.5108748,51.5145051
n42882721,"42882721",node,bus_stop,Heuvel,5.5954417,51.5178361
n42886936,"42886936",node,bus_stop,Servaasplein,5.5999587,51.5187019
n42888172,"42888172",node,bus_stop,De Hommel,5.6403114,51.5198558
n42892147,"42892147",node,bus_stop,Pallaspad,5.513551,51.5200281
n42896735,"42896735",node,bus_stop,Witte Vennenweg,6.0248583,51.521257
n42900924,"42900924",node,bus_stop,Oostsingel,5.9855207,51.5222681
n42905453,"42905453",node,bus_stop,Dorpsplein,5.0230016,51.5236968
n42914576,"42914576",node,bus_stop,Orchideestraat,5.629195,51.526232
n42955370,"42955370",node,bus_stop,Oude Molenweg 58,5.7105572,51.5379071
n42958046,"42958046",node,bus_stop,Piet van Thielplein,5.6303284,51.5388423
n43009888,"43009888",node,bus_stop,Sint Gerardusplein,5.6919014,51.5541086
n43072453,"43072453",node,bus_stop,Trivium,4.6634459,51.5721894
n43086372,"43086372",node,bus_stop,Peelkanaalweg,5.8288183,51.5753255
n43179191,"43179191",node,bus_stop,Merletgaarde,6.0067708,51.5964294
n43181566,"43181566",node,bus_stop,Bergstraat,5.6770805,51.5972628
n43220500,"43220500",node,bus_stop,Kerk,5.8743504,51.6087666
n43233413,"43233413",node,bus_stop,Galvaniweg,5.4721885,51.6130945
n43243398,"43243398",node,bus_stop,Den Hoek,5.8863749,51.6165283
n43263748,"43263748",node,bus_stop,Peelse Huis,5.6655175,51.6234192
n43265357,"43265357",node,bus_stop,Lepelstraat,5.8838406,51.6235376
n43273685,"43273685",node,bus_stop,Kolonel Silvertoplaan,5.8839889,51.6256588
n43290369,"43290369",node,bus_stop,Brabantstraat,5.6645841,51.6297724
n43490312,"43490312",node,bus_stop,Philips de Tweedestraat,5.3150822,51.6811806
n43494213,"43494213",node,bus_stop,Sonhofweg,5.5930262,51.681883
n43530928,"43530928",node,bus_stop,Simon Stevinweg,5.2824014,51.6906787
n43531073,"43531073",node,bus_stop,Simon Stevinweg,5.2816392,51.6909798
n43542357,"43542357",node,bus_stop,Kapelaan Koopmansplein,5.3102873,51.6936584
n43553704,"43553704",node,bus_stop,Rubensstraat,5.3254906,51.6964238
n43563963,"43563963",node,bus_stop,Aartshertogenlaan,5.318517,51.6991753
n43570161,"43570161",node,bus_stop,Station Oost,5.3189801,51.7014081
n43650309,"43650309",node,bus_stop,Kuijerdamseweg,3.7902408,51.7240806
n43661795,"43661795",node,bus_stop,Kromstraat,5.5185305,51.7274408
n43668360,"43668360",node,bus_stop,Klaverstraat,5.3238032,51.728826
n43679982,"43679982",node,bus_stop,Tunnel Vorstengraf,5.5612911,51.732324
n43706981,"43706981",node,bus_stop,Park De Soeten Haert,3.797259,51.739743
n43742608,"43742608",node,bus_stop,Gemeentehuis,5.8819687,51.7507481
n43755274,"43755274",node,bus_stop,Rijksweg/Veldweg,5.8767385,51.7552078
n43803556,"43803556",node,bus_stop,Keerweer,4.6438773,51.7723718
n43850551,"43850551",node,bus_stop,Station Zuid,4.6742024,51.790128
n43851696,"43851696",node,bus_stop,Kapteynweg,4.6786733,51.7905044
n43855291,"43855291",node,bus_stop,Pastoor van Weerdtstraat,5.4893351,51.7925789
n43863165,"43863165",node,bus_stop,Spirea,4.6689756,51.7930547
n43865608,"43865608",node,bus_stop,Marisplein,4.6566232,51.7971446
n43869951,"43869951",node,bus_stop,Patersweg,4.6667216,51.7986455
n43881766,"43881766",node,bus_stop,Buurtschap Zinkweg,4.3885641,51.801853
n43890532,"43890532",node,bus_stop,Weizigtpark,4.663821,51.804654
n43899416,"43899416",node,bus_stop,Transvaalstraat,4.6774983,51.8064635
n43913715,"43913715",node,bus_stop,Wielewaallaan,5.3185666,51.8100339
n43919091,"43919091",node,bus_stop,Maasplaza,4.6553566,51.8113642
n43936718,"43936718",node,bus_stop,Grevelingenweg,4.7211166,51.8154493
n43951138,"43951138",node,bus_stop,Maasstraat,4.689253,51.8186402
n43971938,"43971938",node,bus_stop,Burgemeester Feitsmapark,4.7846974,51.8234199
n43987808,"43987808",node,bus_stop,Molenlaan,5.0483734,51.826778
n43990782,"43990782",node,bus_stop,Edelweisslaan,4.6928558,51.8274505
n43995682,"43995682",node,bus_stop,Willem Dreeslaan,4.7003146,51.8280928
n43997336,"43997336",node,bus_stop,Kooihaven,4.7190553,51.8284305
n44004207,"44004207",node,bus_stop,Irenestraat,5.1761206,51.8297135
n44030422,"44030422",node,bus_stop,Brakelseveer,5.0899965,51.8346372
n44072477,"44072477",node,bus_stop,P.C. Hooftsingel,4.6390789,51.8462455
n44095442,"44095442",node,bus_stop,Peursumseweg,4.8869405,51.8530381
n44210705,"44210705",node,bus_stop,Veesteeg,5.531523,51.880579
n44218564,"44218564",node,bus_stop,IHC Smit,4.6292015,51.8820948
n44221987,"44221987",node,bus_stop,Lingecollege,5.4277356,51.8828881
n44256109,"44256109",node,bus_stop,Rauwenhof,5.4107715,51.8890312
n44268965,"44268965",node,bus_stop,Vrijthof,5.4099945,51.8914367
n44269416,"44269416",node,bus_stop,De Essenpas,5.9184368,51.8930908
n44319081,"44319081",node,bus_stop,Hoog Kellenseweg,5.4449786,51.9026918
n44352188,"44352188",node,bus_stop,Liesveldviaduct,4.3428636,51.9095646
n44357387,"44357387",node,bus_stop,Voorstraat,5.4950609,51.9115266
n44366012,"44366012",node,bus_stop,Industrieweg,5.7233814,51.9134708
n44420473,"44420473",node,bus_stop,Dillenburgsingel,4.3469844,51.9245957
n44428261,"44428261",node,bus_stop,'t Hanenest,5.3242795,51.9253756
n44448681,"44448681",node,bus_stop,Kerkpad,5.3133068,51.930683
n44449359,"44449359",node,bus_stop,Holysingel,4.342629,51.930341
n44453400,"44453400",node,bus_stop,Kleinpolderplein,4.4369343,51.9310474
n44457112,"44457112",node,bus_stop,Station,5.5832775,51.9316474
n44486759,"44486759",node,bus_stop,Kopenhagenlaan,4.3544015,51.9365009
n44534307,"44534307",node,bus_stop,Het Molenhuis,5.3002211,51.9473302
n44539820,"44539820",node,bus_stop,Station,5.2270025,51.9472652
n44555581,"44555581",node,bus_stop,Stationssingel,5.2262235,51.9503717
n44591595,"44591595",node,bus_stop,De Hommel,5.1509198,51.9573048
n44618094,"44618094",node,bus_stop,Hamseweg,5.2549681,51.9629629
n44619705,"44619705",node,bus_stop,Hamseweg,5.2551144,51.9629361
n44624491,"44624491",node,bus_stop,'t Lot,5.1670481,51.9641123
n44646629,"44646629",node,bus_stop,Kortenoever,5.1324068,51.9669852
n44648801,"44648801",node,bus_stop,Muziektent,5.4549943,51.9686645
n44710287,"44710287",node,bus_stop,Boterdorpseweg,4.4962466,51.9810658
n44750683,"44750683",node,bus_stop,Dorpsstraat,4.5001272,51.9893131
n44839228,"44839228",node,bus_stop,Duikersloot,4.4452827,52.0086388
n44919890,"44919890",node,bus_stop,Poort van Nieuwegein,5.068136,52.0277686
n44994239,"44994239",node,bus_stop,Paterswoldestraat,4.2831872,52.0432217
n45077083,"45077083",node,bus_stop,Zuiderklamp,5.5444622,51.4602587
n45077086,"45077086",node,bus_stop,Heikampen,5.5515268,51.4608079
n45215672,"45215672",node,bus_stop,Hasebroekstraat,5.0974202,52.0933768
n45333434,"45333434",node,bus_stop,Zwembad Blauwkapel,5.141568,52.121014
n45386109,"45386109",node,bus_stop,Rubenslaan,5.2010321,52.1322322
n45547558,"45547558",node,bus_stop,Groenoord,4.4937643,52.1684174
n45548386,"45548386",node,bus_stop,Oud Aa,4.9856095,52.1688271
n45588759,"45588759",node,bus_stop,Vossemeerlaan,4.5141563,52.180335
n45626102,"45626102",node,bus_stop,Duinvallei/N206,4.4198099,52.1899972
n45664676,"45664676",node,bus_stop,Eendrachtstraat,5.9598463,52.1988694
n45853217,"45853217",node,bus_stop,Anna Blamandreef,4.5527077,52.2420859
n45941187,"45941187",node,bus_stop,Keukenhofdreef,4.5526151,52.2644444
n45989456,"45989456",node,bus_stop,Nesserlaan,4.8389,52.27701
n46403377,"46403377",node,bus_stop,Centrum/Eurowerft,7.0060146,52.3751257
n46847264,"46847264",node,bus_stop,Station,4.7025782,52.5218213
n47267362,"47267362",node,bus_stop,A. Slickerstraat,4.9320175,52.7140877
n47682107,"47682107",node,bus_stop,Trekschuit,5.9013878,52.9636578
n47930848,"47930848",node,bus_stop,Hunneschans,6.3082365,53.0946014
n48329378,"48329378",node,bus_stop,Nieuw Oostenburg,6.1539886,53.2841391
n48459946,"48459946",node,bus_stop,Melkweg,6.8389717,53.3916247
n48488812,"48488812",node,bus_stop,Verbindingsweg,5.7637417,53.445956
n48493860,"48493860",node,bus_stop,Strand Nes,5.7773668,53.4577199
n59777806,"59777806",node,bus_stop,Rode Kruis Gebouw,5.290531,51.877222
n60017855,"60017855",node,bus_stop,Groningenhaven,5.1015693,52.0191367
n60700874,"60700874",node,bus_stop,Haaswijk,4.4836599,52.1908595
n82582443,"82582443",node,bus_stop,Zorgcentrum,5.2876749,51.8788867
n101437442,"101437442",node,bus_stop,Oosterstraat,5.132857,52.0858773
n101437446,"101437446",node,bus_stop,Oudwijkerdwarsstraat,5.1340886,52.0872481
n101437449,"101437449",node,bus_stop,Oudwijkerdwarsstraat,5.1349245,52.0878256
n102131049,"102131049",node,bus_stop,Acacialaan,4.6662235,52.2213862
n110045526,"110045526",node,bus_stop,Kanaalbrug,5.4920533,51.5062335
n111758927,"111758927",node,bus_stop,Kloofpad,4.6731026,52.2219918
n111759957,"111759957",node,bus_stop,Tuinderij,4.6753672,52.223175
n111760110,"111760110",node,bus_stop,Leimuiden/,4.6755128,52.2251937
n122523221,"122523221",node,bus_stop,Spinozalaan,4.4337028,52.189586
n183582193,"183582193",node,bus_stop,Meidoornstraat,5.8080496,50.9829833
n199076959,"199076959",node,bus_stop,De Nieuwe Linde,5.5610234,51.4707278
n206130100,"206130100",node,bus_stop,Rijnsaterwoude,4.673584,52.1864755
n206130139,"206130139",node,bus_stop,Rijnsaterwoude,4.6748275,52.1874118
n234157434,"234157434",node,bus_stop,Dorpshuis Marijke,4.6798988,52.240139
n238240421,"238240421",node,bus_stop,St. Servaasweg,5.4935963,51.4264026
n243156244,"243156244",node,bus_stop,Noordeinde,4.6717537,52.2261595
n243997387,"243997387",node,bus_stop,Broekakkerseweg,5.521279,51.4444952
n243999428,"243999428",node,bus_stop,Hercules Segherslaan,5.5078979,51.4381596
n245024499,"245024499",node,bus_stop,Lelycentre,5.4846367,52.5207175
n245569575,"245569575",node,bus_stop,Merellaan,5.5728052,51.5014901
n245569576,"245569576",node,bus_stop,Roeklaan,5.5765078,51.5071716
n245573644,"245573644",node,bus_stop,Molen,5.5927482,51.5154838
n246385254,"246385254",node,bus_stop,Dennenlaan,4.6629891,52.2236899
n247741756,"247741756",node,bus_stop,Kerk,5.809876,50.789746
n247749966,"247749966",node,bus_stop,Verliefd Laantje,5.6447639,51.494109
n249202448,"249202448",node,bus_stop,Station Kennispark,6.8408265,52.2384501
n249202449,"249202449",node,bus_stop,Capitool,6.8447361,52.2361895
n250879545,"250879545",node,bus_stop,Ir. Enschedeweg,4.9232849,52.1034025
n251397656,"251397656",node,bus_stop,Schaapsweg / Molenstraat,5.6572961,52.0461616
n252801333,"252801333",node,bus_stop,Laan van Westenenk,5.9622243,52.1799541
n253872835,"253872835",node,bus_stop,Goedentijd,4.9602492,51.4878658
n253872874,"253872874",node,bus_stop,'t Zand,4.9657099,51.4993395
n253872939,"253872939",node,bus_stop,Willibrordplein,4.9551594,51.4823698
n253872940,"253872940",node,bus_stop,Willibrordplein,4.955342,51.4830421
n253872943,"253872943",node,bus_stop,Nieuwstraat,4.9547535,51.4793849
n253872954,"253872954",node,bus_stop,Sint-Janstraat,4.9272573,51.4447057
n253934581,"253934581",node,bus_stop,Kerkstraat,5.0201458,51.5221189
n253934582,"253934582",node,bus_stop,Dorpsplein,5.0228853,51.5242208
n253934583,"253934583",node,bus_stop,Dorpstraat,5.0233706,51.5270038
n253971608,"253971608",node,bus_stop,Westeinde,4.6179816,52.2022336
n254257811,"254257811",node,bus_stop,Venweg,4.9448421,51.4578141
n255003418,"255003418",node,bus_stop,Station Schiedam Centrum,4.4097126,51.9213115
n255006569,"255006569",node,bus_stop,Blokhoeve Noord,5.0958919,52.0518505
n255419808,"255419808",node,bus_stop,Hoogeindsestraat,5.140093,51.4501317
n255604271,"255604271",node,bus_stop,Koningin Wilhelminalaan,5.1007342,52.0754866
n257561733,"257561733",node,bus_stop,De Dreef,5.6437041,51.5058434
n258347476,"258347476",node,bus_stop,P+R Westraven,5.1069191,52.0559856
n261977386,"261977386",node,bus_stop,Gerrit Rietveldlaan,4.4739757,52.196685
n261977389,"261977389",node,bus_stop,Gerrit Rietveldlaan,4.4750148,52.1962139
n262475839,"262475839",node,bus_stop,Cornelis Edelmanstraat,4.9632598,52.4902347
n262475840,"262475840",node,bus_stop,Cornelis Edelmanstraat,4.9628212,52.4902398
n262480754,"262480754",node,bus_stop,Mergelland,4.9654732,52.4950649
n262480755,"262480755",node,bus_stop,Mergelland,4.9662556,52.4946806
n262678046,"262678046",node,bus_stop,President Kennedylaan,4.4886588,52.1865053
n262679191,"262679191",node,bus_stop,Pres. Kennedylaan,4.4869595,52.1855355
n263119461,"263119461",node,bus_stop,Aert van Neslaan,4.4735476,52.185921
n263119465,"263119465",node,bus_stop,Aert van Neslaan,4.4727422,52.1860277
n263660947,"263660947",node,bus_stop,Lijsterstraat,4.473657,52.1734524
n263689177,"263689177",node,bus_stop,Warmonderweg,4.4749476,52.1768193
n263689178,"263689178",node,bus_stop,Warmonderweg,4.4746424,52.1767386
n263689179,"263689179",node,bus_stop,Marelaan,4.4779372,52.1791059
n263689180,"263689180",node,bus_stop,Marelaan,4.4782053,52.1791938
n263710148,"263710148",node,bus_stop,Postbrug,4.4851044,52.2025155
n263710149,"263710149",node,bus_stop,Postbrug,4.4848447,52.2024064
n264011468,"264011468",node,bus_stop,Haaswijklaan,4.4753478,52.1923123
n264011469,"264011469",node,bus_stop,Haaswijklaan,4.4755215,52.1929075
n264011471,"264011471",node,bus_stop,Haaswijklaan,4.4744924,52.1923898
n264011472,"264011472",node,bus_stop,Zonnebloemlaan,4.4719169,52.1905923
n264011473,"264011473",node,bus_stop,Dahlialaan,4.4729719,52.189695
n264011475,"264011475",node,bus_stop,Dahlialaan,4.4729546,52.1900167
n264011494,"264011494",node,bus_stop,Abtspoelweg,4.4844811,52.183186
n264011496,"264011496",node,bus_stop,Abtspoelweg,4.4841346,52.1832127
n264524931,"264524931",node,bus_stop,Gorlaeus Laboratorium,4.4637356,52.1698292
n264524932,"264524932",node,bus_stop,Gorlaeus Laboratorium,4.4638523,52.1697129
