full_id,osm_id,osm_type,railway,name,xcoord,ycoord
n2737697617,"2737697617",node,level_crossing,,4.4662541,51.9455301
n2737697621,"2737697621",node,level_crossing,,4.4661881,51.9455401
n2737706330,"2737706330",node,level_crossing,,4.4661696,51.9455934
n2737706332,"2737706332",node,level_crossing,,4.466236,51.9455826
n2737706334,"2737706334",node,level_crossing,,4.4662196,51.9454485
n2737706336,"2737706336",node,level_crossing,,4.4662849,51.9454388
n2871638116,"2871638116",node,switch,,4.4767269,51.8715873
n2871638120,"2871638120",node,switch,,4.4773296,51.8736395
n2871638126,"2871638126",node,switch,,4.4773216,51.8732246
n2872496459,"2872496459",node,switch,,4.3843552,51.8682172
n2872496460,"2872496460",node,switch,,4.3843885,51.8684808
n2872496461,"2872496461",node,switch,,4.3843135,51.8690519
n2872496462,"2872496462",node,switch,,4.3843807,51.8687034
n2872496471,"2872496471",node,switch,,4.3846844,51.8818908
n2872496475,"2872496475",node,switch,,4.3790996,51.8902959
n2872496476,"2872496476",node,switch,,4.3789482,51.8906712
n2872496477,"2872496477",node,switch,,4.3788899,51.8911143
n2872496478,"2872496478",node,switch,,4.3789248,51.8907879
n2872503312,"2872503312",node,switch,,4.3714573,51.9056096
n2872503313,"2872503313",node,switch,,4.3712682,51.9050794
n2872503314,"2872503314",node,switch,,4.371476,51.9057496
n2872503354,"2872503354",node,stop,Parkweg,4.3939247,51.9213156
n2872503374,"2872503374",node,switch,,4.4136238,51.9207205
n2872503375,"2872503375",node,switch,,4.4142391,51.9205897
n2872503377,"2872503377",node,switch,,4.4151792,51.9204962
n2872650725,"2872650725",node,stop,Eendrachtsplein,4.4737244,51.9163496
n2872650732,"2872650732",node,stop,Dijkzigt,4.4660974,51.9122493
n2872650739,"2872650739",node,stop,Coolhaven,4.4582471,51.9095462
n2872650751,"2872650751",node,stop,Delfshaven,4.4457184,51.9099984
n3032594048,"3032594048",node,switch,,4.9688894,52.3298775
n3032594049,"3032594049",node,switch,,4.970134,52.3294446
n3032594052,"3032594052",node,buffer_stop,,4.9630995,52.331179
