full_id,osm_id,osm_type,railway,name,xcoord,ycoord
n2983733524,"2983733524",node,station,Houten,5.1681345,52.0340078
n2989906405,"2989906405",node,station,Zoutindustrie,6.7853221,52.1917806
n2989925910,"2989925910",node,station,Haaksbergen,6.7381799,52.1584703
n2989934275,"2989934275",node,station,Boekelo,6.8008997,52.2048225
n3093842602,"3093842602",node,station,Etten-Leur,4.6364804,51.5752127
n3105151948,"3105151948",node,station,Utrecht Zuilen,5.0893544,52.1032324
n3149917960,"3149917960",node,station,Berkel Westpolder,4.4543595,51.9900765
n3149917961,"3149917961",node,station,Beurs,4.4808632,51.9179985
n3149917962,"3149917962",node,station,Blijdorp,4.4581761,51.9306162
n3149917963,"3149917963",node,station,De Akkers,4.3198989,51.8333189
n3149917964,"3149917964",node,station,Heemraadlaan,4.3316246,51.8377526
n3149917966,"3149917966",node,station,Leidschendam-Voorburg,4.3820605,52.0775803
n3149917967,"3149917967",node,station,Leuvehaven,4.4819906,51.9140336
n3149917968,"3149917968",node,station,Maashaven,4.4947569,51.8971935
n3149917970,"3149917970",node,station,Meijersplein / Airport,4.462218,51.95592
n3149917971,"3149917971",node,station,Melanchthonweg,4.4646343,51.948473
n3149917972,"3149917972",node,station,Nootdorp,4.4147041,52.0475517
n3149917973,"3149917973",node,station,Pijnacker Centrum,4.4369745,52.0205662
n3149917974,"3149917974",node,station,Pijnacker Zuid,4.445805,52.0050029
n3149917975,"3149917975",node,station,Poortugaal,4.3957931,51.8617237
n3149917976,"3149917976",node,station,Rhoon,4.4194918,51.8591359
n3149917977,"3149917977",node,station,Rijnhaven,4.4967979,51.9035842
n3149917978,"3149917978",node,station,Rodenrijs,4.4608354,51.9754013
n3149917979,"3149917979",node,station,Spijkenisse Centrum,4.3344573,51.8465462
n3149917980,"3149917980",node,station,Stadhuis,4.4785118,51.9232371
n3149917982,"3149917982",node,station,Tussenwater,4.3767716,51.8626297
n3149917983,"3149917983",node,station,Voorburg 't Loo,4.3653147,52.0823292
n3149917984,"3149917984",node,station,Wilhelminaplein,4.4926485,51.9076988
n3149917985,"3149917985",node,station,Zalmplaat,4.3625084,51.8549462
n3149917986,"3149917986",node,station,Zuidplein,4.4883271,51.8868946
n3234513661,"3234513661",node,station,Nijmegen Goffert,5.8224752,51.8272972
n3293165266,"3293165266",node,station,Nuth,5.89267,50.9198085
n3376839743,"3376839743",node,station,Delft,4.3565807,52.0075518
n3479331097,"3479331097",node,station,Den Haag Centraal,4.3245487,52.0808443
n3497550450,"3497550450",node,station,Den Haag HS,4.3222758,52.0701372
n3501464156,"3501464156",node,station,Den Haag Moerwijk,4.3085449,52.054519
n3504104382,"3504104382",node,station,Den Haag Laan van NOI,4.3432643,52.0789705
n3505712905,"3505712905",node,station,Den Haag Mariahoeve,4.3700691,52.0909985
n3507247429,"3507247429",node,station,Voorburg,4.3595644,52.0665882
n3508543971,"3508543971",node,station,Den Haag Ypenburg,4.390848,52.0558168
n3517452398,"3517452398",node,station,Voorweg Laag,4.4705733,52.0627697
n3517471133,"3517471133",node,station,Voorweg Hoog,4.4711784,52.0629362
n3518163015,"3518163015",node,station,Centrum-West,4.4834971,52.0606493
n3519612824,"3519612824",node,station,Dorp,4.4921412,52.0544224
n3519649713,"3519649713",node,station,Delftsewallen,4.4870404,52.0508275
n3519955804,"3519955804",node,station,Meerzicht,4.4699165,52.0554285
n3520189614,"3520189614",node,station,De Leyens,4.4949009,52.0719449
n3520398377,"3520398377",node,station,Leidsewallen,4.5095883,52.0690131
n3520700034,"3520700034",node,station,Seghwaert,4.515322,52.0630519
n3520739916,"3520739916",node,station,Palenstein,4.5064191,52.0596852
n3526392072,"3526392072",node,station,Oosterheem,4.5426551,52.0603312
n3526444979,"3526444979",node,station,Javalaan,4.5378303,52.0537378
n3578080067,"3578080067",node,station,Obdam,4.9092183,52.6780448
n3591583930,"3591583930",node,station,Soest,5.3104481,52.1727524
n3598701583,"3598701583",node,station,Venray,6.0142546,51.526454
n3672421920,"3672421920",node,station,Barneveld Zuid,5.6030939,52.1280783
n3752165187,"3752165187",node,station,Hardenberg,6.627603,52.5723383
n3752165189,"3752165189",node,station,Mariënberg,6.5742267,52.509025
n3827196189,"3827196189",node,station,Zwijndrecht,4.6411824,51.8152743
n3827257157,"3827257157",node,station,Barendrecht,4.5526538,51.8552885
n3938547498,"3938547498",node,station,Amsterdam Sloterdijk,4.8381062,52.3890317
n3986455402,"3986455402",node,station,Stavoren,5.3598,52.8866043
n3986455407,"3986455407",node,station,Koudum-Molkwerum,5.4107682,52.9024767
n4005961975,"4005961975",node,station,Amsterdam Bijlmer ArenA,4.9470883,52.3122449
n4018000913,"4018000913",node,station,Eygelshoven Markt,6.0577972,50.896103
n4034243636,"4034243636",node,station,Heerlen Woonboulevard,5.9527975,50.8961435
n4040491812,"4040491812",node,station,Amsterdam Amstel,4.9175567,52.3464656
n4041466061,"4041466061",node,station,Tilburg,5.0837293,51.560531
n4041487491,"4041487491",node,station,Vught,5.2921212,51.6555908
n4041503843,"4041503843",node,station,Eindhoven Strijp-S,5.4570165,51.4503696
n4041505713,"4041505713",node,station,Boxtel,5.3190301,51.5844429
n4041574195,"4041574195",node,station,Zaltbommel,5.2633823,51.8078029
n4041579851,"4041579851",node,station,Geldermalsen,5.2714789,51.8825577
n4041584745,"4041584745",node,station,Culemborg,5.2267808,51.9470421
n4041640589,"4041640589",node,station,Gein,4.9890129,52.296338
n4041640590,"4041640590",node,station,Reigersbos,4.9744218,52.2956478
n4041642874,"4041642874",node,station,Gaasperplas,4.9843223,52.3113175
n4041662264,"4041662264",node,station,Ganzenhoef,4.9735502,52.3230792
n4041662265,"4041662265",node,station,Kraaiennest,4.9791233,52.3170313
n4041664287,"4041664287",node,station,Venserpolder,4.9463398,52.3267669
n4041666291,"4041666291",node,station,Duivendrecht,4.9364854,52.3235282
n4046323545,"4046323545",node,station,Amsterdam RAI,4.8902289,52.3370349
n4046383465,"4046383465",node,station,Strandvliet,4.9413557,52.3185355
n4046388677,"4046388677",node,station,Bullewijk,4.9522364,52.3066107
n4048801938,"4048801938",node,station,'s-Gravenweg,4.5476727,51.919502
n4048801939,"4048801939",node,station,Ambachtsland,4.5702668,51.9657663
n4048801940,"4048801940",node,station,Binnenhof,4.5356539,51.9603316
n4048801941,"4048801941",node,station,Capelle Centrum,4.5895585,51.9313801
n4048801942,"4048801942",node,station,Capelsebrug,4.5579589,51.9214526
n4048801943,"4048801943",node,station,Coolhaven,4.4582888,51.9094712
n4048801944,"4048801944",node,station,De Terp,4.6003816,51.9359471
n4048801945,"4048801945",node,station,De Tochten,4.5784685,51.9688713
n4048801946,"4048801946",node,station,Delfshaven,4.4457004,51.9099946
n4048801947,"4048801947",node,station,Dijkzigt,4.4661162,51.9122378
n4048801948,"4048801948",node,station,Eendrachtsplein,4.4737376,51.916333
n4048801949,"4048801949",node,station,Gerdesiaweg,4.505848,51.925903
n4048801950,"4048801950",node,station,Graskruid,4.5494492,51.957222
n4048801951,"4048801951",node,station,Hesseplaats,4.5531639,51.9632093
n4048801954,"4048801954",node,station,Kralingse Zoom,4.5338512,51.9214103
n4048801956,"4048801956",node,station,Nesselande,4.5865432,51.979685
n4048801957,"4048801957",node,station,Nieuw Verlaat,4.5614524,51.964821
n4048801958,"4048801958",node,station,Oosterflank,4.5546319,51.9452288
n4048801959,"4048801959",node,station,Oostplein,4.4969859,51.9233607
n4048801960,"4048801960",node,station,Parkweg,4.393958,51.9212698
n4048801961,"4048801961",node,station,Pernis,4.3817895,51.8849426
n4048801962,"4048801962",node,station,Prinsenlaan,4.5565395,51.9407693
n4048801963,"4048801963",node,station,Romeynshof,4.5428712,51.9615094
n4048801964,"4048801964",node,station,Rotterdam Alexander,4.5524827,51.9517162
n4048801966,"4048801966",node,station,Rotterdam Blaak,4.4892276,51.919941
n4048801967,"4048801967",node,station,Rotterdam Centraal,4.4692289,51.9250574
n4048801968,"4048801968",node,station,Schenkel,4.5634734,51.9319373
n4048801969,"4048801969",node,station,Schiedam Centrum,4.4087428,51.9220349
n4048801970,"4048801970",node,station,Slinge,4.4777323,51.8745879
n4048801971,"4048801971",node,station,Slotlaan,4.578324,51.9284776
n4048801972,"4048801972",node,station,Troelstralaan,4.3846339,51.9155498
n4048801973,"4048801973",node,station,Vijfsluizen,4.3719899,51.9091538
n4048801974,"4048801974",node,station,Voorschoterlaan,4.5130582,51.9250006
n4053335995,"4053335995",node,station,Heemstedestraat,4.8343026,52.3524713
n4061881142,"4061881142",node,station,Hoogeveen,6.4729673,52.7335031
n4064153245,"4064153245",node,station,Verrijn Stuartweg,4.9662522,52.328939
n4073693626,"4073693626",node,station,Spaklerweg,4.9210115,52.3399595
n4073693628,"4073693628",node,station,Wibautstraat,4.9120253,52.3544624
n4073743506,"4073743506",node,station,Nieuwmarkt,4.9008788,52.3713176
n4075987791,"4075987791",node,station,Henk Sneevlietweg,4.8345025,52.3464029
n4076017504,"4076017504",node,station,Amsterdam Lelylaan,4.8340268,52.3578369
n4077313759,"4077313759",node,station,Isolatorweg,4.8507911,52.3951713
n4077313763,"4077313763",node,station,Postjesweg,4.8339612,52.3642921
n4085675596,"4085675596",node,station,'s-Hertogenbosch,5.2937086,51.6905164
n4085675598,"4085675598",node,station,Alkmaar,4.7406979,52.6381293
n4085675599,"4085675599",node,station,Castricum,4.6591148,52.5453379
n4085675600,"4085675600",node,station,Heiloo,4.7011338,52.6000225
n4085675602,"4085675602",node,station,Roermond,5.9938511,51.1925659
n4085675603,"4085675603",node,station,Sittard,5.8588913,51.0020038
n4085675604,"4085675604",node,station,Zaandam,4.8137421,52.4382493
n4144568336,"4144568336",node,station,Abcoude,4.9773816,52.2785602
n4144571678,"4144571678",node,station,Breukelen,4.9906222,52.1708294
n4154223955,"4154223955",node,station,Helmond Brandevoort,5.6088392,51.4624634
n4154223956,"4154223956",node,station,Nijmegen Dukenburg,5.7942393,51.8239417
n4154223957,"4154223957",node,station,Nijmegen Lent,5.8596868,51.862468
n4154223958,"4154223958",node,station,Olst,6.1134201,52.3354376
n4159816391,"4159816391",node,station,Buitenpost,6.1452078,53.2563902
n4159816392,"4159816392",node,station,Zuidhorn,6.4067456,53.2481468
n4185358281,"4185358281",node,station,Zaandijk Zaanse Schans,4.8051566,52.4692791
n4185358282,"4185358282",node,station,Krommenie-Assendelft,4.7552412,52.4950503
n4185358283,"4185358283",node,station,Wormerveer,4.7936282,52.4892769
n4203968191,"4203968191",node,station,Woerden,4.8924874,52.0850884
n4203968192,"4203968192",node,station,Zoetermeer Oost,4.4934339,52.0463461
n4203968193,"4203968193",node,station,Zoetermeer,4.476916,52.0475562
n4205279190,"4205279190",node,station,Vorden,6.3171531,52.1073107
n4213072667,"4213072667",node,station,Heerhugowaard,4.8236817,52.6702428
n4213072668,"4213072668",node,station,Veenendaal-De Klomp,5.5739271,52.0459528
n4290854847,"4290854847",node,station,Amsterdam Centraal,4.9005805,52.378901
n4309432493,"4309432493",node,station,Veenendaal Centrum,5.549098,52.0200045
n4331043170,"4331043170",node,station,Nieuw Amsterdam,6.8488011,52.7183661
n4343430415,"4343430415",node,station,Kesteren,5.583255,51.9315803
n4346546237,"4346546237",node,station,Arkel,4.9927723,51.8721203
n4347209276,"4347209276",node,station,Hardinxveld-Giessendam,4.8355964,51.8303521
n4425618606,"4425618606",node,station,Dordrecht,4.6677478,51.8075316
n4487545500,"4487545500",node,station,Gouda,4.7061636,52.0174245
n4487548898,"4487548898",node,station,Amsterdam Muiderpoort,4.9311934,52.3608341
n4487550666,"4487550666",node,station,Weert,5.7041339,51.2486962
